IntMatrix: 6184 by 3
row 116:    501    899    236 
row 117:    270    456    450 
row 118:   1010    447    574 
row 119:    165    166    451 
row 120:    235    942   1016 
row 121:    288    164    165 
row 122:    302    457    717 
row 123:    274     52    454 
row 124:    309     63    455 
row 125:    270    268    456 
row 126:    734    241   1135 
row 127:    403   1474    458 
row 128:    242     62    305 
row 129:    458    262    254 
row 130:    416    692   1210 
row 131:    158    266    157 
row 132:     60     61    242 
row 133:   1232    263    448 
row 134:    285    860    719 
row 135:    255    265     56 
row 136:    248     60    242 
row 137:    265    260    259 
row 138:     40     41    244 
row 139:    450    467    270 
row 140:    243    244    461 
row 141:    268    454     53 
row 142:    235    716    720 
row 143:    159    160    475 
row 144:    446    281    891 
row 145:   1235    576    721 
row 146:     59     60    248 
row 147:    912    262    267 
row 148:    468     58    277 
row 149:    854   1506   1136 
row 150:    291    166    167 
row 151:     47     48    467 
row 152:    251    271    468 
row 153:    261    723    469 
row 154:     45     46    258 
row 155:     55    265    259 
row 156:     57     58    253 
row 157:    260    257    471 
row 158:    163    164    269 
row 159:     55    259     54 
row 160:    449    484    722 
row 161:    259    260    471 
row 162:    162    163    286 
row 163:     48    476    467 
row 164:    255    468    472 
row 165:    895     46     47 
row 166:    410    714    290 
row 167:     55     56    265 
row 168:    255    472    473 
row 169:    252    469    723 
row 170:    262    161    256 
row 171:    162    256    161 
row 172:    471    478    259 
row 173:    256    254    262 
row 174:    463    159    475 
row 175:    253    255     56 
row 176:     48     49    476 
row 177:    255    473    265 
row 178:    158    159    463 
row 179:    263    475    477 
row 180:     53     54    478 
row 181:    288    414    269 
row 182:    157    266    272 
row 183:     57    253     56 
row 184:    268    471    456 
row 185:    255    253    468 
row 186:    156    157    272 
row 187:     44     45    290 
row 188:    264    476    274 
row 189:    470    894   1137 
row 190:    411    153    725 
row 191:    276    297    481 
row 192:     49     50   3192 
row 193:    251    468    277 
row 194:    480    725    482 
row 195:    507    137    138 
row 196:     50     51   3192 
row 197:    295    500    878 
row 198:    153    278    152 
row 199:    243    461    483 
row 200:    152    278    486 
row 201:    249    722    484 
row 202:    284    150    151 
row 203:    277    248    251 
row 204:    912    161    262 
row 205:    687    443    726 
row 206:    278    407    486 
row 207:    243    483    487 
row 208:    163    269    286 
row 209:    247    422    727 
row 210:    284    437    149 
row 211:    234    246     68 
row 212:    269    164    288 
row 213:    246     67     68 
row 214:    294    147    289 
row 215:     45    258    290 
row 216:    308    295    728 
row 217:    273     43     44 
row 218:    492    480    925 
row 219:    312     40    293 
row 220:    171    172    851 
row 221:    245    461     42 
row 222:    289    407    294 
row 223:     43    245     42 
row 224:    728    414    489 
row 225:     42    461     41 
row 226:    292    407   1138 
row 227:    276    242    297 
row 228:    731   2049   1668 
row 229:    242     61     62 
row 230:    721    303   1359 
row 231:     38     39    312 
row 232:   1676    865   1140 
row 233:    457    901   1141 
row 234:    144    145   1359 
row 235:    287    692    497 
row 236:     34     35    233 
row 237:    240    297    498 
row 238:    143    303    576 
row 239:    229    978   1142 
row 240:    434   1184   1143 
row 241:    455     64    899 
row 242:    142    306    310 
row 243:     40    244    293 
row 244:    572   1473    311 
row 245:    293    243    406 
row 246:    141    310    502 
row 247:    328    231    503 
row 248:     69     70    314 
row 249:    238    571    737 
row 250:    850    141    502 
row 251:    307   1032   1144 
row 252:    232    324    318 
row 253:    236     65     66 
row 254:    139    316    739 
row 255:   1043   2778   2960 
row 256:    512    175    176 
row 257:    246    462     67 
row 258:    138    139    739 
row 259:    246    234    235 
row 260:     32     33    325 
row 261:    307    897    741 
row 262:    743    135   1146 
row 263:     37    238     36 
row 264:    320    325    742 
row 265:    238    315     36 
row 266:    510    611    944 
row 267:     71    318     70 
row 268:     74     75    333 
row 269:    232    586    324 
row 270:    335   1625   2288 
row 271:     33     34    511 
row 272:    311    175    512 
row 273:    600     30    445 
row 274:   2080    907   1338 
row 275:    327    509    514 
row 276:     28     29    329 
row 277:    753    230   1149 
row 278:   2590   1378   1674 
row 279:    332   1431   1528 
row 280:    340    597    333 
row 281:    616    812    338 
row 282:    341    752    749 
row 283:    301    326    336 
row 284:     28    436     27 
row 285:    228    176    177 
row 286:    330   2910   2322 
row 287:    807     78    350 
row 288:    333     75    339 
row 289:    333    339    340 
row 290:    130    131    749 
row 291:    924   1510    491 
row 292:    524    523    963 
row 293:    226   1009    344 
row 294:    605    129    752 
row 295:    186    187    521 
row 296:    230    931   1149 
row 297:    225    424    865 
row 298:   1047    129    605 
row 299:    179    180    348 
row 300:    963    127    751 
row 301:    179    348    612 
row 302:    343    617    754 
row 303:     23     24    525 
row 304:    632     81    360 
row 305:    351     23   1153 
row 306:    523    625    125 
row 307:    217    423    965 
row 308:    638     82     83 
row 309:    351   1153   1133 
row 310:    531    123    354 
row 311:    530    184    355 
row 312:    365    542    757 
row 313:    183    184    530 
row 314:    361    122    531 
row 315:    187    220    521 
row 316:    363    976    758 
row 317:    220    439    884 
row 318:    361    121    122 
row 319:    214    211    533 
row 320:     84     85    534 
row 321:    186    345    185 
row 322:    368   1165   1672 
row 323:     18    223    537 
row 324:    650    534    760 
row 325:    223    888   1551 
row 326:    535    759   1155 
row 327:    212    644    539 
row 328:   1150   2625   3109 
row 329:    430    703     16 
